id,name,nationality,type
coc,Coco Chanel,french,1
yd,Yvonne Dudel,french,1
gb,Gaston Berthelot,french,1
jc,Jean Cazaubon ,french,1
pg,Philippe Guibourge,french,1
re,Ramon Esparza ,spain,1
kl,Karl Lagerfeld,german,1
smc,Stella McCartney ,great britain,1
pb,Pierre Balmain,french,1
clx,Christian Lacroix,french,1
vv,Virginie Viard ,french,1
ch,Chanel,french,2
di,Dior,french,2
ba,Balenciaga,spain,2
blm,Balmain,french,2
pt,Patou,french,2
cl,Chloe,french,2
fe,Fendi,italian,2
mcc,Stella McCartney ,great britain,2
la,Lagerfeld,german,2
faw,Familie Wertheimer,french,1
gag,G-III Apparel Group,american,2
huk,Hun Kim ,korean,1
cb,Christobal Balenciaga,spanish,1
gvy,Givenchy,french,2
awg,Alexander Wang,american,1
ng,Nicolas Ghesquiere,french,1
dgv,Demna Gvasalia,georgian,1
mm,Maison Margiela,french,2
lv,Louis Vuitton,french,2
odlr,Oscar de la Renta,dominican,1
eu,Emmanuel Ungaro,french,1
anco,Andre Courreges,french,1
ker,Kering,french,2
jabo,Jacques Bogart S.A.,french,2
ppr,Pinault-Printemps-Redoute,french,2
cd,Christian Dior,french,1
ysl,Yves Saint Laurent,french,2
mb,Marc Bohan,french,1
gf,Gianfranco Ferré,italian,1
jg,John Galliano,british,1
rs,Raf Simons,belgian,1
mgc,Maria Grazi Chiuri,italian,1
pc,Pierre Cardin,french,1
bgy,Bill Gaytten,british,1
hsl,Hedi Slimane,french,1
jpg,Jean Paul Gaultier,french,1
jpgm,Jean Paul Gaultier Marke,french,2
pug,Puig,spanish,2
jpu,Jean Patou,french,1
chbe,Chitose Abe,japanese,1
sai,Sacai,japanese,2
or,Olivier Rousteing,french,1
mmla,Martin Margiela,french,1
av,Alexandre Vauthier,french,1
mug,Mugler,french,2
jth,Josephus Timister,french,1
migo,Michele Goma,french,1
hrms,Hermés,french,2
af,Adele Fendi,italian,1
ef,Eduardo Fendi,italian,1
pfs,Paola Fendi,italian,1
anfs,Anna Fendi,italian,1
ffs,Franca Fendi,italian,1
cfs,Carla Fendi,italian,1
alfs,Alda Fendi,italian,1
svf,Silvia Venturini Fendi,italian,1
lvmh,LVMH Moët Hennessy – Louis Vuitton SE,french,2
kj,Kim Jones,great britain,1
yslp,Yves Saint Laurent person,algeria,1
pb,Pieree Berge,french,1
ae,Alber Elbaz,Israel,1
tf,Tom Ford,america,1
sp,Stefano Pilati,italian,1
av,Anthony Vaccerello,belgium,1
jmr,J. Mack Robinson,georgia,1
cotr,Charles of the Ritz,georgian,1
sbn,Squibb Beech-Nut,swiss,2
san,Sanofi,french,2
gg,Gucci Groupe,italian,2
ksa,Kering S.A.,french,2
pq,Paquin,french,2
sip,Schiaparelli,russian ,2
pcm,Piere Cardin Marke,french,2
cf,Cardin Family,french,1
rbc,Rodrigo Basilicati-Cardin,italian,1
